duration,rating,year,director,major cast,certification,gross,votes,budget
144,75,70,162,256,10,0,130992,0
106,75,64,143,274,14,51,206937,25
91,80,32,139,170,6,1,34453,0
154,75,45,369,102,14,98,87406,15
133,80,48,32,122,14,178,513685,25
76,75,53,213,47,11,5,51409,6
212,80,19,410,73,14,74,239512,15
100,75,58,10,370,6,14,200722,27
131,75,71,245,198,16,146,692071,160
98,80,60,207,431,14,2,149836,2
165,80,67,0,14,14,1,193453,1
152,75,64,310,414,6,75,148582,40
116,75,70,257,111,16,93,368015,25
104,80,47,227,157,14,4,34139,4
181,80,31,277,432,14,80,43865,9
123,75,39,40,44,6,37,32292,12
127,80,27,370,328,6,16,177616,3
194,75,57,148,260,16,659,1164845,200
129,75,74,245,90,6,128,665380,81
153,80,73,81,180,6,61,705454,46
114,80,36,241,356,6,28,825474,1
119,75,65,202,312,12,25,296621,39
148,85,70,58,260,16,292,2330761,160
113,75,60,38,115,14,115,216155,30
100,75,71,256,209,14,44,241759,15
180,75,53,380,95,13,4,31653,35
96,75,41,116,294,16,12,181488,3
116,80,17,37,435,14,8,125538,3
165,75,70,208,391,16,4,107517,12
116,75,76,81,15,16,100,689634,47
121,75,78,136,265,6,3,76726,3
113,75,67,123,297,6,121,578948,20
128,80,76,64,372,6,151,583254,30
137,80,46,148,397,14,85,714705,18
188,80,59,289,425,6,22,313012,37
135,80,61,185,365,16,170,928860,58
95,80,24,362,335,6,0,489887,1
117,80,58,172,141,16,17,805396,15
88,75,40,166,113,14,83,239659,3
122,80,74,65,103,4,3,198319,3
102,75,78,23,224,15,26,162917,0
139,75,66,248,166,6,50,313378,40
108,80,76,389,374,13,363,1029836,58
96,90,17,355,174,14,4,784622,0
109,75,73,319,142,13,8,158595,3
115,80,77,240,150,6,54,503773,15
109,75,42,241,356,14,2,104358,20
130,80,71,79,99,16,381,869700,125
82,75,45,414,295,14,10,52002,15
105,80,77,224,3,14,209,501476,175
146,80,40,362,192,6,44,1014631,19
95,75,61,174,223,13,3,35939,6
113,75,74,86,425,16,100,675424,178
172,80,25,334,236,14,163,234078,8
100,75,76,210,104,16,0,60366,0
106,80,27,261,122,6,104,273545,3
126,75,57,228,56,16,63,473364,93
147,85,39,99,285,13,83,664584,31
108,75,75,236,211,11,1,62513,81
95,80,18,280,73,12,2,104925,0
188,80,42,139,37,6,4,63981,6
119,80,79,344,114,13,159,580625,95
151,80,33,104,402,13,53,131117,12
132,85,79,43,398,6,53,787872,11
152,80,79,52,242,16,117,388867,97
130,75,73,29,60,12,1,49194,11
119,75,62,86,151,16,121,546637,60
128,80,18,14,199,6,3,401655,2
108,75,59,170,195,11,32,91667,25
242,75,56,211,244,12,4,38406,18
156,80,52,238,8,16,63,296397,31
197,75,20,362,250,6,30,135453,12
100,75,71,270,372,6,35,636791,15
108,75,27,383,27,6,17,31139,3
119,80,6,280,322,16,1,441419,0
116,75,61,368,163,16,183,573028,85
102,85,7,251,182,14,1,569623,0
80,75,63,374,302,12,7,54697,9
189,85,59,101,427,16,136,1291205,60
106,75,77,58,149,16,188,653210,100
147,75,60,368,298,6,124,208035,48
113,75,79,129,291,6,36,335657,22
149,75,46,16,140,14,0,28556,0
118,80,31,294,422,14,29,48720,1
128,75,55,184,56,6,100,387626,90
117,75,74,66,195,6,32,543681,8
201,90,63,296,128,14,377,1832328,94
127,75,72,24,405,14,124,628860,120
89,80,57,233,306,11,0,75079,0
154,75,79,420,346,16,5,39953,5
83,75,2,408,109,14,184,199975,1
126,80,78,264,460,6,1,89291,4
141,75,68,60,18,6,35,256019,55
170,80,43,47,8,6,45,835424,25
134,80,73,357,402,6,56,698734,20
128,80,49,298,360,14,95,488072,16
107,75,68,240,89,13,7,425176,15
125,85,61,133,105,14,10,756555,19
178,80,55,241,356,6,42,518124,52
125,75,53,194,427,16,77,242555,26
122,80,59,344,248,16,130,1150164,15
103,80,70,224,427,14,415,832367,200
150,85,62,339,4,1,32,826051,35
112,75,62,291,368,13,9,112850,9
155,85,60,322,371,16,187,1489496,103
108,80,14,91,282,6,9,155497,0
145,85,50,134,284,6,46,1151431,25
134,75,72,111,400,14,1,36756,1
134,75,65,24,195,6,83,357153,14
192,75,64,416,391,14,2,53538,7
102,80,60,68,132,6,3,838025,4
101,75,72,313,222,14,189,422207,165
89,75,63,392,332,13,5,70888,0
144,80,75,322,289,16,228,848753,108
72,75,33,311,31,14,0,31814,0
114,75,33,8,10,10,0,43533,0
92,75,54,219,461,14,1,73981,1
107,75,77,381,129,13,33,251343,11
129,75,56,124,353,6,56,217571,30
117,75,66,377,258,13,2,112735,30
108,80,70,68,311,6,106,764033,13
139,80,76,82,294,6,67,521509,40
94,75,72,407,205,6,45,349815,16
96,75,28,113,121,6,0,129828,0
112,80,67,159,234,12,5,107945,6
113,80,60,58,169,16,25,1231355,9
117,75,73,160,291,13,27,487693,5
134,75,73,321,327,16,107,459727,55
124,75,40,331,120,14,54,52645,6
137,80,77,155,180,6,226,757620,97
124,80,65,102,342,6,74,768615,40
178,75,22,209,17,14,39,56233,10
119,75,74,7,300,6,42,628585,18
109,75,68,68,303,16,26,306611,6
132,80,75,246,186,16,0,35660,0
152,80,0,226,262,14,3,62316,1
111,80,63,306,439,6,70,1108875,30
139,85,59,71,48,6,37,2102618,63
186,75,63,272,341,14,1,69770,1
120,80,46,279,71,16,138,413840,6
150,75,27,325,257,14,45,74059,5
144,75,61,322,232,6,108,396621,92
130,75,53,117,246,16,56,149627,25
144,80,66,239,96,16,167,656297,150
143,80,72,202,357,16,623,1383890,220
135,80,56,36,40,13,24,94387,1
122,75,61,28,115,6,76,435716,45
124,80,35,369,369,6,260,603978,7
157,75,59,253,371,16,28,171823,90
131,75,62,215,215,16,54,138704,35
130,80,34,339,192,16,8,326458,6
121,80,64,288,417,16,23,355698,17
169,75,72,296,283,16,303,825836,180
120,75,46,75,188,6,8,199861,6
92,80,15,55,358,6,0,89931,0
96,75,46,70,212,6,40,183645,15
87,85,1,54,69,8,0,184727,1
126,75,64,406,154,14,16,101691,16
144,80,65,341,371,16,61,188468,88
127,75,67,245,70,14,38,273109,70
157,75,65,260,99,16,290,622889,150
90,75,61,17,441,14,267,674134,60
162,80,45,3,413,14,4,125920,11
147,75,61,75,310,16,7,355152,15
109,85,20,14,21,6,32,668885,0
103,80,13,361,160,8,8,242223,2
152,75,61,56,99,14,317,773924,125
130,75,53,18,171,14,183,295573,44
142,75,75,369,427,16,72,311358,40
153,80,69,306,48,6,120,1435756,70
109,75,47,317,294,16,65,259362,15
139,80,74,415,19,13,3,57345,3
162,75,69,148,380,16,760,1242109,237
95,75,70,301,80,14,251,546646,69
122,75,67,155,371,6,53,312224,55
133,75,64,161,28,14,6,74061,56
127,75,38,113,107,6,5,121643,0
103,75,77,286,36,14,40,78952,40
102,75,31,85,88,6,35,157335,4
136,80,76,25,13,16,1,45405,0
149,80,78,27,219,16,678,1067174,321
116,80,68,60,88,16,148,773821,33
115,75,73,11,54,16,17,118709,12
115,75,42,369,175,14,435,408653,10
115,80,67,284,289,16,227,634605,110
106,80,34,247,161,6,86,159025,2
140,75,55,341,427,14,173,295511,52
81,80,55,181,427,14,191,988069,30
189,80,51,167,320,16,70,156661,40
94,75,77,276,375,14,0,25724,0
136,80,56,259,423,14,13,43731,4
101,75,64,44,83,13,1,390399,5
108,75,79,376,364,16,0,385542,14
105,75,62,169,324,12,15,43307,15
178,85,61,296,128,14,315,1860968,93
160,80,44,412,23,13,51,400354,18
132,75,74,48,326,16,233,711405,200
114,75,45,317,387,14,61,273855,19
100,75,79,201,427,14,434,249564,200
118,80,70,218,430,14,138,679925,15
127,85,55,71,307,6,100,1637308,33
144,75,69,252,84,16,2,74007,18
115,80,72,386,272,5,0,328853,3
169,80,58,121,421,10,0,64717,9
89,80,9,405,255,14,0,163724,0
106,85,74,64,304,6,13,848660,3
114,75,60,96,349,13,1,53339,1
106,75,61,12,276,6,13,123456,2
138,75,36,42,62,14,70,116245,8
135,75,55,60,88,6,71,82270,24
141,75,69,144,206,13,0,233683,47
119,75,47,92,7,6,76,309935,25
133,75,76,107,146,16,532,631673,200
117,75,62,344,427,6,104,268586,80
142,85,54,335,427,16,330,2058944,55
122,75,12,91,445,6,8,108741,1
108,75,18,315,130,6,17,49932,3
101,75,76,376,377,16,5,130967,5
191,80,42,314,35,14,52,231908,22
139,75,24,333,236,14,102,173100,6
157,75,67,71,195,16,33,539707,65
107,75,47,184,24,6,59,422931,15
122,80,61,161,28,14,33,754509,10
